"","date","vax1","agec","hh_infected","countsUninf","countsInf"
"228",2020-07-08,FALSE,3,TRUE,37,0
"229",2020-07-09,FALSE,1,FALSE,40,0
"230",2020-07-09,FALSE,2,FALSE,99,0
"231",2020-07-09,FALSE,3,FALSE,61,0
"232",2020-07-09,FALSE,1,TRUE,37,0
"233",2020-07-09,FALSE,2,TRUE,70,0
"234",2020-07-09,FALSE,3,TRUE,37,0
"235",2020-07-10,FALSE,1,FALSE,40,0
"236",2020-07-10,FALSE,2,FALSE,99,0
"237",2020-07-10,FALSE,3,FALSE,61,0
"238",2020-07-10,FALSE,1,TRUE,37,0
"239",2020-07-10,FALSE,2,TRUE,70,0
"240",2020-07-10,FALSE,3,TRUE,37,0
"241",2020-07-11,FALSE,1,FALSE,40,0
"242",2020-07-11,FALSE,2,FALSE,99,0
"243",2020-07-11,FALSE,3,FALSE,61,0
"244",2020-07-11,FALSE,1,TRUE,37,0
"245",2020-07-11,FALSE,2,TRUE,70,0
"246",2020-07-11,FALSE,3,TRUE,37,0
"247",2020-07-12,FALSE,1,FALSE,40,0
"248",2020-07-12,FALSE,2,FALSE,99,0
"249",2020-07-12,FALSE,3,FALSE,61,0
"250",2020-07-12,FALSE,1,TRUE,37,0
"251",2020-07-12,FALSE,2,TRUE,70,0
"252",2020-07-12,FALSE,3,TRUE,37,0
"253",2020-07-13,FALSE,1,FALSE,40,0
"254",2020-07-13,FALSE,2,FALSE,99,0
"255",2020-07-13,FALSE,3,FALSE,61,0
"256",2020-07-13,FALSE,1,TRUE,37,0
"257",2020-07-13,FALSE,2,TRUE,70,0
"258",2020-07-13,FALSE,3,TRUE,37,0
"259",2020-07-14,FALSE,1,FALSE,40,0
"260",2020-07-14,FALSE,2,FALSE,99,0
"261",2020-07-14,FALSE,3,FALSE,61,0
"262",2020-07-14,FALSE,1,TRUE,37,0
"263",2020-07-14,FALSE,2,TRUE,70,0
"264",2020-07-14,FALSE,3,TRUE,37,0
"265",2020-07-15,FALSE,1,FALSE,40,0
"266",2020-07-15,FALSE,2,FALSE,99,0
"267",2020-07-15,FALSE,3,FALSE,61,0
"268",2020-07-15,FALSE,1,TRUE,37,0
"269",2020-07-15,FALSE,2,TRUE,70,0
"270",2020-07-15,FALSE,3,TRUE,37,0
"271",2020-07-16,FALSE,1,FALSE,40,0
"272",2020-07-16,FALSE,2,FALSE,99,0
"273",2020-07-16,FALSE,3,FALSE,61,0
"274",2020-07-16,FALSE,1,TRUE,37,0
"275",2020-07-16,FALSE,2,TRUE,70,0
"276",2020-07-16,FALSE,3,TRUE,37,0
"277",2020-07-17,FALSE,1,FALSE,40,0
"278",2020-07-17,FALSE,2,FALSE,99,0
"279",2020-07-17,FALSE,3,FALSE,61,0
"280",2020-07-17,FALSE,1,TRUE,37,0
"281",2020-07-17,FALSE,2,TRUE,70,0
"282",2020-07-17,FALSE,3,TRUE,37,0
"283",2020-07-18,FALSE,1,FALSE,40,0
"284",2020-07-18,FALSE,2,FALSE,99,0
"285",2020-07-18,FALSE,3,FALSE,61,0
"286",2020-07-18,FALSE,1,TRUE,37,0
"287",2020-07-18,FALSE,2,TRUE,70,0
"288",2020-07-18,FALSE,3,TRUE,37,0
"289",2020-07-19,FALSE,1,FALSE,40,0
"290",2020-07-19,FALSE,2,FALSE,99,0
"291",2020-07-19,FALSE,3,FALSE,61,0
"292",2020-07-19,FALSE,1,TRUE,37,0
"293",2020-07-19,FALSE,2,TRUE,70,0
"294",2020-07-19,FALSE,3,TRUE,37,0
"295",2020-07-20,FALSE,1,FALSE,40,0
"296",2020-07-20,FALSE,2,FALSE,99,0
"297",2020-07-20,FALSE,3,FALSE,61,0
"298",2020-07-20,FALSE,1,TRUE,37,0
"299",2020-07-20,FALSE,2,TRUE,70,0
"300",2020-07-20,FALSE,3,TRUE,37,0
"301",2020-07-21,FALSE,1,FALSE,40,0
"302",2020-07-21,FALSE,2,FALSE,99,0
"303",2020-07-21,FALSE,3,FALSE,61,0
"304",2020-07-21,FALSE,1,TRUE,37,0
"305",2020-07-21,FALSE,2,TRUE,70,0
"306",2020-07-21,FALSE,3,TRUE,37,0
"307",2020-07-22,FALSE,1,FALSE,40,0
"308",2020-07-22,FALSE,2,FALSE,99,0
"309",2020-07-22,FALSE,3,FALSE,61,0
"310",2020-07-22,FALSE,1,TRUE,37,0
"311",2020-07-22,FALSE,2,TRUE,70,0
"312",2020-07-22,FALSE,3,TRUE,37,0
"313",2020-07-23,FALSE,1,FALSE,40,0
"314",2020-07-23,FALSE,2,FALSE,99,0
"315",2020-07-23,FALSE,3,FALSE,61,0
"316",2020-07-23,FALSE,1,TRUE,37,0
"317",2020-07-23,FALSE,2,TRUE,70,0
"318",2020-07-23,FALSE,3,TRUE,37,0
"319",2020-07-24,FALSE,1,FALSE,40,0
"320",2020-07-24,FALSE,2,FALSE,99,0
"321",2020-07-24,FALSE,3,FALSE,61,0
"322",2020-07-24,FALSE,1,TRUE,37,0
"323",2020-07-24,FALSE,2,TRUE,70,0
"324",2020-07-24,FALSE,3,TRUE,37,0
"325",2020-07-25,FALSE,1,FALSE,40,0
"326",2020-07-25,FALSE,2,FALSE,99,0
"327",2020-07-25,FALSE,3,FALSE,61,0
"328",2020-07-25,FALSE,1,TRUE,37,0
"329",2020-07-25,FALSE,2,TRUE,70,0
"330",2020-07-25,FALSE,3,TRUE,37,0
"331",2020-07-26,FALSE,1,FALSE,40,0
"332",2020-07-26,FALSE,2,FALSE,99,0
"333",2020-07-26,FALSE,3,FALSE,61,0
"334",2020-07-26,FALSE,1,TRUE,37,0
"335",2020-07-26,FALSE,2,TRUE,70,0
"336",2020-07-26,FALSE,3,TRUE,37,0
"337",2020-07-27,FALSE,1,FALSE,40,0
"338",2020-07-27,FALSE,2,FALSE,99,0
"339",2020-07-27,FALSE,3,FALSE,61,0
"340",2020-07-27,FALSE,1,TRUE,37,0
"341",2020-07-27,FALSE,2,TRUE,70,0
"342",2020-07-27,FALSE,3,TRUE,37,0
"343",2020-07-28,FALSE,1,FALSE,40,0
"344",2020-07-28,FALSE,2,FALSE,99,0
"345",2020-07-28,FALSE,3,FALSE,61,0
"346",2020-07-28,FALSE,1,TRUE,37,0
"347",2020-07-28,FALSE,2,TRUE,70,0
"348",2020-07-28,FALSE,3,TRUE,37,0
"349",2020-07-29,FALSE,1,FALSE,40,0
"350",2020-07-29,FALSE,2,FALSE,99,0
"351",2020-07-29,FALSE,3,FALSE,61,0
"352",2020-07-29,FALSE,1,TRUE,37,0
"353",2020-07-29,FALSE,2,TRUE,70,0
"354",2020-07-29,FALSE,3,TRUE,37,0
"355",2020-07-30,FALSE,1,FALSE,40,0
"356",2020-07-30,FALSE,2,FALSE,99,0
"357",2020-07-30,FALSE,3,FALSE,61,0
"358",2020-07-30,FALSE,1,TRUE,37,0
"359",2020-07-30,FALSE,2,TRUE,70,0
"360",2020-07-30,FALSE,3,TRUE,37,0
"361",2020-07-31,FALSE,1,FALSE,40,0
"362",2020-07-31,FALSE,2,FALSE,99,0
"363",2020-07-31,FALSE,3,FALSE,61,0
"364",2020-07-31,FALSE,1,TRUE,37,0
"365",2020-07-31,FALSE,2,TRUE,70,0
"366",2020-07-31,FALSE,3,TRUE,37,0
"367",2020-08-01,FALSE,1,FALSE,40,0
"368",2020-08-01,FALSE,2,FALSE,99,0
"369",2020-08-01,FALSE,3,FALSE,61,0
"370",2020-08-01,FALSE,1,TRUE,37,0
"371",2020-08-01,FALSE,2,TRUE,70,0
"372",2020-08-01,FALSE,3,TRUE,37,0
"373",2020-08-02,FALSE,1,FALSE,40,0
"374",2020-08-02,FALSE,2,FALSE,99,0
"375",2020-08-02,FALSE,3,FALSE,61,0
"376",2020-08-02,FALSE,1,TRUE,37,0
"377",2020-08-02,FALSE,2,TRUE,70,0
"378",2020-08-02,FALSE,3,TRUE,37,0
"379",2020-08-03,FALSE,1,FALSE,40,0
"380",2020-08-03,FALSE,2,FALSE,99,0
"381",2020-08-03,FALSE,3,FALSE,61,0
"382",2020-08-03,FALSE,1,TRUE,37,0
"383",2020-08-03,FALSE,2,TRUE,70,0
"384",2020-08-03,FALSE,3,TRUE,37,0
"385",2020-08-04,FALSE,1,FALSE,40,0
"386",2020-08-04,FALSE,2,FALSE,99,0
"387",2020-08-04,FALSE,3,FALSE,61,0
"388",2020-08-04,FALSE,1,TRUE,37,0
"389",2020-08-04,FALSE,2,TRUE,70,0
"390",2020-08-04,FALSE,3,TRUE,37,0
"391",2020-08-05,FALSE,1,FALSE,40,0
"392",2020-08-05,FALSE,2,FALSE,99,0
"393",2020-08-05,FALSE,3,FALSE,61,0
"394",2020-08-05,FALSE,1,TRUE,37,0
"395",2020-08-05,FALSE,2,TRUE,70,0
"396",2020-08-05,FALSE,3,TRUE,37,0
"397",2020-08-06,FALSE,1,FALSE,40,0
"398",2020-08-06,FALSE,2,FALSE,99,0
"399",2020-08-06,FALSE,3,FALSE,61,0
"400",2020-08-06,FALSE,1,TRUE,37,0
"401",2020-08-06,FALSE,2,TRUE,70,0
"402",2020-08-06,FALSE,3,TRUE,37,0
"403",2020-08-07,FALSE,1,FALSE,40,0
"404",2020-08-07,FALSE,2,FALSE,99,0
"405",2020-08-07,FALSE,3,FALSE,61,0
"406",2020-08-07,FALSE,1,TRUE,37,0
"407",2020-08-07,FALSE,2,TRUE,70,0
"408",2020-08-07,FALSE,3,TRUE,37,0
"409",2020-08-08,FALSE,1,FALSE,40,0
"410",2020-08-08,FALSE,2,FALSE,99,0
"411",2020-08-08,FALSE,3,FALSE,61,0
"412",2020-08-08,FALSE,1,TRUE,37,0
"413",2020-08-08,FALSE,2,TRUE,70,0
"414",2020-08-08,FALSE,3,TRUE,37,0
"415",2020-08-09,FALSE,1,FALSE,40,0
"416",2020-08-09,FALSE,2,FALSE,99,0
"417",2020-08-09,FALSE,3,FALSE,61,0
"418",2020-08-09,FALSE,1,TRUE,37,0
"419",2020-08-09,FALSE,2,TRUE,70,0
"420",2020-08-09,FALSE,3,TRUE,37,0
"421",2020-08-10,FALSE,1,FALSE,40,0
"422",2020-08-10,FALSE,2,FALSE,99,0
"423",2020-08-10,FALSE,3,FALSE,61,0
"424",2020-08-10,FALSE,1,TRUE,37,0
"425",2020-08-10,FALSE,2,TRUE,70,0
"426",2020-08-10,FALSE,3,TRUE,37,0
"427",2020-08-11,FALSE,1,FALSE,40,0
"428",2020-08-11,FALSE,2,FALSE,99,0
"429",2020-08-11,FALSE,3,FALSE,61,0
"430",2020-08-11,FALSE,1,TRUE,37,0
"431",2020-08-11,FALSE,2,TRUE,70,0
"432",2020-08-11,FALSE,3,TRUE,37,0
"433",2020-08-12,FALSE,1,FALSE,40,0
"434",2020-08-12,FALSE,2,FALSE,99,0
"435",2020-08-12,FALSE,3,FALSE,61,0
"436",2020-08-12,FALSE,1,TRUE,37,0
"437",2020-08-12,FALSE,2,TRUE,70,0
"438",2020-08-12,FALSE,3,TRUE,37,0
"439",2020-08-13,FALSE,1,FALSE,40,0
"440",2020-08-13,FALSE,2,FALSE,99,0
"441",2020-08-13,FALSE,3,FALSE,61,0
"442",2020-08-13,FALSE,1,TRUE,37,0
"443",2020-08-13,FALSE,2,TRUE,70,0
"444",2020-08-13,FALSE,3,TRUE,37,0
"445",2020-08-14,FALSE,1,FALSE,40,0
"446",2020-08-14,FALSE,2,FALSE,99,0
"447",2020-08-14,FALSE,3,FALSE,61,0
"448",2020-08-14,FALSE,1,TRUE,37,0
"449",2020-08-14,FALSE,2,TRUE,70,0
"450",2020-08-14,FALSE,3,TRUE,37,0
"451",2020-08-15,FALSE,1,FALSE,40,0
"452",2020-08-15,FALSE,2,FALSE,99,0
"453",2020-08-15,FALSE,3,FALSE,61,0
"454",2020-08-15,FALSE,1,TRUE,37,0
"455",2020-08-15,FALSE,2,TRUE,70,0
"456",2020-08-15,FALSE,3,TRUE,37,0
"457",2020-08-16,FALSE,1,FALSE,40,0
"458",2020-08-16,FALSE,2,FALSE,99,0
"459",2020-08-16,FALSE,3,FALSE,61,0
"460",2020-08-16,FALSE,1,TRUE,37,0
"461",2020-08-16,FALSE,2,TRUE,70,0
"462",2020-08-16,FALSE,3,TRUE,37,0
